predicted_x,predicted_y,x,y
1.453654761904762,1.405511904761905,1,1
1.5346428571428572,1.824452380952381,1,2
1.4536428571428568,2.646619047619048,1,3
1.5920119047619046,7.203999999999999,1,7
1.5085119047619042,7.635249999999998,1,8
2.070488095238095,1.4667063492063495,2,1
2.040761904761904,1.7967976190476191,2,2
2.0796428571428565,2.7670357142857136,2,3
1.6695119047619038,7.2268333333333326,2,7
1.937511904761904,7.672999999999998,2,8
3.127988095238093,1.5750396825396822,3,1
2.608357142857142,1.651384920634921,3,2
3.051583333333333,2.7261785714285725,3,3
3.7555000000000014,3.9641785714285724,3,4
2.931916666666666,5.096416666666666,3,5
2.9310833333333335,6.400833333333333,3,6
2.7227499999999996,7.237583333333332,3,7
2.9049999999999994,7.575999999999999,3,8
3.9933095238095238,1.6729206349206338,4,1
3.9966428571428576,1.7851706349206338,4,2
3.9900119047619045,2.937214285714285,4,3
3.7840000000000007,3.760678571428572,4,4
4.063249999999999,7.896083333333333,4,8
5.085896825396827,1.5784682539682535,5,1
5.273968253968258,1.6968492063492056,5,2
4.820571428571428,3.5627738095238097,5,4
5.093749999999999,5.345541666666667,5,5
5.29275,6.093458333333333,5,6
5.151500000000001,7.388083333333334,5,7
4.9744166666666665,7.799333333333334,5,8
5.543123015873019,1.5552063492063493,6,1
5.690527777777778,2.6925277777777774,6,2
5.721861111111111,2.5812777777777773,6,3
5.615416666666665,3.686000000000001,6,4
5.712750000000001,5.112374999999999,6,5
5.636250000000001,5.870875,6,6
5.565833333333333,7.629166666666667,6,8
